"id","is_alive","random_generator_seed","radius","type","direction:0","direction:1","Points:0","Points:1","Points:2"
0,1,1.6263e+09,0.5,0,0.27913,0.022076,31.666,11.283,0
1,1,1.6263e+09,0.5,0,-0.27215,0.065843,19.207,26.467,0
2,1,1.6263e+09,0.5,0,0.19211,0.2037,41.338,29.477,0
3,1,1.6263e+09,0.5,0,0.12089,-0.25256,48.487,44.771,0
4,1,1.6263e+09,0.5,0,0.22176,0.17094,2.56,62.574,0
5,1,1.6263e+09,0,0,0.26978,0.074944,30.676,14.396,0
6,1,1.6263e+09,0,0,0.20955,0.18571,48.449,29.339,0
7,1,1.6263e+09,0,0,0.24421,-0.13697,34.145,12.469,0
8,1,1.6263e+09,0,0,0.27434,-0.056023,47.38,42.881,0
9,1,1.6263e+09,0,0,-0.20736,0.18815,0.59767,64.325,0
10,1,1.6263e+09,0,0,-0.279,-0.023589,19.531,30.459,0
11,1,1.6263e+09,0,0,0.011728,0.27975,2.8125,2.779,0
12,1,1.6263e+09,0,0,-0.27036,-0.072857,7.2066,1.0628,0
13,1,1.6263e+09,0,0,0.22938,-0.16058,0.85763,3.2097,0
14,1,1.6263e+09,0,0,0.0073635,-0.2799,42.368,44.48,0
15,1,1.6263e+09,0,0,0.27358,-0.059633,45.81,45.046,0
16,1,1.6263e+09,0,0,0.27964,-0.014264,44.77,45.579,0
17,1,1.6263e+09,0,0,0.1396,-0.24272,15.204,45.015,0
18,1,1.6263e+09,0,0,0.20312,0.19272,38.053,29.411,0
19,1,1.6263e+09,0,0,0.071764,-0.27065,47.346,28.444,0
20,1,1.6263e+09,0,0,0.10662,0.2589,5.4403,67.81,0
21,1,1.6263e+09,0,0,-0.069461,-0.27125,46.365,27.798,0
22,1,1.6263e+09,0,0,0.27915,-0.021811,39.842,29.317,0
23,1,1.6263e+09,0,0,0.27984,-0.0094094,17.464,13.501,0
24,1,1.6263e+09,0,0,0.23959,-0.1449,34.676,13.545,0
25,1,1.6263e+09,0,0,0.078716,0.26871,21.889,28.729,0
26,1,1.6263e+09,0,0,-0.25443,0.11689,37.429,28.334,0
27,1,1.6263e+09,0,0,-0.097846,-0.26235,4.186,10.421,0
28,1,1.6263e+09,0,0,-0.2706,0.07193,46.745,29.782,0
29,1,1.6263e+09,0,0,0.27837,-0.030205,43.143,27.778,0
30,1,1.6263e+09,0,0,0.27854,0.02852,5.0643,53.148,0
31,1,1.6263e+09,0,0,0.2484,0.12923,30.448,12.231,0
32,1,1.6263e+09,0,0,0.25366,0.11857,43.971,44.576,0
33,1,1.6263e+09,0,0,0.1947,-0.20123,48.011,43.693,0
34,1,1.6263e+09,0,0,0.26047,-0.10273,38.923,44.3,0
35,1,1.6263e+09,0,0,0.25501,0.11563,4.6972,60.265,0
36,1,1.6263e+09,0,0,0.28,0.0012056,14.808,13.588,0
37,1,1.6263e+09,0,0,0.2713,0.069262,16.585,43.643,0
38,1,1.6263e+09,0,0,0.19126,-0.2045,9.3441,52.921,0
39,1,1.6263e+09,0,0,0.27246,0.064538,45.812,28.722,0
40,1,1.6263e+09,0,0,0.21731,0.17656,28.031,29.711,0
41,1,1.6263e+09,0,0,0.27455,-0.054969,31.48,13.037,0
42,1,1.6263e+09,0,0,-0.096035,-0.26302,6.7345,42.491,0
